file,line,matched_terms,classification,reason
AGENT.md,16,escrow | fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,25,demo,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,37,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,39,example | placeholder,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,43,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,55,hardcoded,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,63,Fake | demo | fake | placeholder,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
AGENT.md,73,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
app/actions/auth.ts,6,example,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-businesses/page.tsx,79,sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-businesses/page.tsx,83,sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-businesses/page.tsx,175,sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-businesses/page.tsx,179,sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-providers/page.tsx,96,sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-providers/page.tsx,101,sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/for-providers/page.tsx,207,Example,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/how-it-works/page.tsx,69,escrow,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/how-it-works/page.tsx,70,escrow,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/how-it-works/page.tsx,86,fake,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
app/j/[publicId]/page.tsx,23,example | sample,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/j/[publicId]/page.tsx,24,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/login/page.tsx,74,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
app/login/page.tsx,84,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
app/p/[username]/page.tsx,11,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,12,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,13,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,14,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,15,example | sample,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,17,Example | example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,18,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,21,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,23,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/p/[username]/page.tsx,24,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/page.tsx,13,example | sample,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/page.tsx,23,Example | example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
app/signup/page.tsx,80,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
app/signup/page.tsx,89,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
app/signup/page.tsx,99,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
app/signup/page.tsx,108,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
app/terms/page.tsx,35,escrow,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
ARCHITECTURE-ESSENTIALS.md,11,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
ARCHITECTURE-ESSENTIALS.md,12,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
ARCHITECTURE-ESSENTIALS.md,30,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
ARCHITECTURE.md,129,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
ARCHITECTURE.md,151,demo,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
ARCHITECTURE.md,195,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,31,Fake | escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,127,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,166,sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,178,placeholder,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,372,identity verified,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,453,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,482,fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,576,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,579,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,583,mock,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
BUILD-ROADMAP.md,642,escrow | fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
components/explore/career-atlas-view.tsx,99,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/explore/career-atlas-view.tsx,100,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/home/hero-3d-card.tsx,12,example,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
components/home/hero-search.tsx,50,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/home/hero-search.tsx,51,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/home/interactive-deal-simulator.tsx,9,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/home/interactive-deal-simulator.tsx,11,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/jobs/create-job-form.tsx,20,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/jobs/create-job-form.tsx,21,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/jobs/create-job-form.tsx,26,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
components/jobs/public-job-view.tsx,5,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/jobs/public-job-view.tsx,8,Example | example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/jobs/public-job-view.tsx,9,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/jobs/transaction-record.tsx,5,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/jobs/transaction-record.tsx,10,Example | example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/jobs/transaction-record.tsx,14,example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/navigation/footer.tsx,4,Example | sample,REAL,"Implementation text, field hint, negative disclosure or explanatory comment; not simulated persistence."
components/opportunities/opportunity-list-view.tsx,4,SAMPLE,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/opportunities/opportunity-list-view.tsx,9,SAMPLE,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/opportunities/opportunity-list-view.tsx,10,Example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/opportunities/opportunity-list-view.tsx,11,placeholder,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/opportunities/opportunity-list-view.tsx,13,Example | example,DEMO-ONLY,Explicitly labeled illustrative content; isolated from real transaction mutation.
components/ui/input.tsx,51,placeholder,REAL,Input hint or placeholder CSS utility; not a backend substitute.
data/trustlink-dev.json,30,sample,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
data/trustlink-dev.json,31,sample,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
data/trustlink-dev.json,47,sample,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
data/trustlink-dev.json,48,sample,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
data/trustlink-dev.json,64,escrow,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
data/trustlink-dev.json,75,sample,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
data/trustlink-dev.json,76,sample,DEMO-ONLY,Legacy local fixture; excluded from active repositories and source handoff.
docs/age-safety-audit.md,16,SAMPLE,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/age-safety-audit.md,20,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/age-safety-audit.md,31,STUB,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/age-safety-audit.md,66,sample,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/age-safety-audit.md,77,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/age-safety-audit.md,94,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/age-safety-audit.md,103,stub,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/agent-start.md,13,example | fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/agent-start.md,15,fake,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/agent-start.md,31,example,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,26,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
docs/competitive-positioning.md,37,escrow,REAL,Documentation/planning/audit text; not evidence that the described feature exists.
